libtype,libtype2,libtype3
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,2,2,2
39,2,2,2
40,2,2,2
41,2,2,2
42,2,2,2
43,2,2,2
44,2,2,2
45,2,2,2
46,2,2,2
47,2,2,2
48,2,2,2
49,2,2,2
50,2,2,2
51,2,2,2
52,2,2,2
53,2,2,2
54,2,2,2
55,2,2,2
56,2,2,2
57,2,2,2
58,2,2,2
59,2,2,2
60,2,2,2
61,2,2,2
62,2,2,2
63,2,2,2
64,2,2,2
65,2,2,2
66,2,2,2
67,2,2,2
68,2,2,2
69,2,2,2
70,2,2,2
71,2,2,2
72,2,2,2
73,2,2,2
74,2,2,2
75,2,2,2
76,2,2,2
77,2,2,2
78,2,2,2
79,2,2,2
80,3,3,3
81,3,3,3
82,3,3,3
83,3,3,3
84,3,3,3
85,3,3,3
86,3,3,3
87,3,3,3
88,3,3,3
89,3,3,3
90,3,3,3
91,3,3,3
92,3,3,3
93,3,3,3
94,3,3,3
95,3,3,3
96,3,3,3
97,3,3,3
98,3,3,3
99,3,3,3
100,3,3,3
101,3,3,3
102,3,3,3
103,3,3,3
104,3,3,3
105,3,3,3
106,3,3,3
107,3,3,3
108,3,3,3
109,3,3,3
110,3,3,3
111,3,3,3
112,3,3,3
113,3,3,3
114,3,3,3
115,3,3,3
116,3,3,3
117,3,3,3
118,3,3,3
119,3,3,3
120,3,3,3
121,3,3,3
122,3,3,3
123,3,3,3
124,3,3,3
125,3,3,3
126,3,3,3
127,3,3,3
128,3,3,3
129,3,3,3
130,3,3,3
131,3,3,3
132,3,3,3
133,3,3,3
134,3,3,3
135,3,3,3
136,3,3,3
137,3,3,3
138,3,3,3
139,3,3,3
140,3,3,3
141,3,3,3
142,3,3,3
143,3,3,3
144,3,3,3
145,3,3,3
146,3,3,3
147,3,3,3
148,3,3,3
149,3,3,3
150,3,3,3
151,3,3,3
152,3,3,3
153,3,3,3
154,3,3,3
155,3,3,3
156,3,3,3
157,3,3,3
158,3,3,3
159,3,3,3
160,3,3,3
161,3,3,3
162,3,3,3
163,3,3,3
164,3,3,3
165,3,3,3
166,3,3,3
167,3,3,3
168,3,3,3
169,3,3,3
170,3,3,3
171,3,3,3
172,3,3,3
173,3,3,3
174,3,3,3
175,3,3,3
176,3,3,3
177,3,3,3
178,3,3,3
179,3,3,3
180,3,3,3
181,3,3,3
182,3,3,3
183,3,3,3
184,3,3,3
185,3,3,3
186,3,3,3
187,3,3,3
188,3,3,3
189,3,3,3
190,3,3,3
191,3,3,3
192,3,3,3
193,3,3,3
194,3,3,3
195,3,3,3
196,3,3,3
197,3,3,3
198,3,3,3
199,3,3,3
200,3,3,3
201,3,3,3
202,3,3,3
203,3,3,3
204,3,3,3
205,3,3,3
206,3,3,3
207,3,3,3
208,3,3,3
209,3,3,3
210,3,3,3
211,3,3,3
212,3,3,3
213,3,3,3
214,3,3,3
215,3,3,3
216,3,3,3
217,3,3,3
218,3,3,3
219,3,3,3
220,3,3,3
221,3,3,3
222,3,3,3
223,3,3,3
224,4,4,4
225,4,4,4
226,4,4,4
227,4,4,4
228,4,4,4
229,4,4,4
230,4,4,4
231,4,4,4
232,4,4,4
233,4,4,4
234,4,4,4
235,4,4,4
236,4,4,4
237,4,4,4
238,4,4,4
239,4,4,4
240,4,4,4
241,4,4,4
242,4,4,4
243,4,4,4
244,5,5,5
245,5,5,5
246,5,5,5
247,5,5,5
248,5,5,5
249,5,5,5
250,5,5,5
251,5,5,5
252,5,5,5
253,5,5,5
254,5,5,5
255,5,5,5
256,5,5,5
257,5,5,5
258,5,5,5
259,5,5,5
260,5,5,5
