libtype,libtype2,libtype3
1,1,1,19
2,1,1,28
3,1,1,32
4,1,1,39
5,1,1,41
6,1,1,44
7,1,1,53
8,1,1,60
9,1,1,80
10,1,1,108
11,1,1,109
12,1,1,110
13,1,1,123
14,1,1,134
15,1,1,137
16,1,1,153
17,1,1,176
18,1,1,184
19,1,1,185
20,1,1,193
21,1,1,229
22,1,1,232
23,1,1,233
24,1,1,249
25,1,1,261
26,1,1,275
27,1,1,279
28,1,1,298
29,1,1,299
30,1,1,303
31,1,1,308
32,1,1,310
33,1,1,315
34,1,1,325
35,1,1,337
36,1,1,343
37,1,1,352
38,2,2,359
39,2,2,361
40,2,2,363
41,2,2,367
42,2,2,371
43,2,2,399
44,2,2,417
45,2,2,433
46,2,2,435
47,2,2,441
48,2,2,444
49,2,2,454
50,2,2,459
51,2,2,498
52,2,2,507
53,2,2,532
54,2,2,534
55,2,2,547
56,2,2,548
57,2,2,574
58,2,2,575
59,2,2,580
60,2,2,586
61,2,2,604
62,2,2,614
63,2,2,617
64,2,2,623
65,2,2,627
66,2,2,645
67,2,2,647
68,2,2,654
69,2,2,679
70,2,2,688
71,2,2,690
72,2,2,696
73,2,2,702
74,2,2,704
75,2,2,711
76,2,2,727
77,2,2,742
78,2,2,745
79,2,2,747
80,3,3,749
81,3,3,751
82,3,3,752
83,3,3,753
84,3,3,754
85,3,3,755
86,3,3,756
87,3,3,757
88,3,3,758
89,3,3,759
90,3,3,760
91,3,3,761
92,3,3,762
93,3,3,763
94,3,3,764
95,3,3,765
96,3,3,766
97,3,3,767
98,3,3,768
99,3,3,769
100,3,3,770
101,3,3,771
102,3,3,773
103,3,3,774
104,3,3,775
105,3,3,777
106,3,3,779
107,3,3,780
108,3,3,783
109,3,3,786
110,3,3,789
111,3,3,791
112,3,3,804
113,3,3,805
114,3,3,808
115,3,3,809
116,3,3,811
117,3,3,1014
118,3,3,1038
119,3,3,1057
120,3,3,1068
121,3,3,1071
122,3,3,1085
123,3,3,1093
124,3,3,1097
125,3,3,1106
126,3,3,1109
127,3,3,1112
128,3,3,1113
129,3,3,1114
130,3,3,1115
131,3,3,1116
132,3,3,1117
133,3,3,1118
134,3,3,1119
135,3,3,1120
136,3,3,1121
137,3,3,1122
138,3,3,1123
139,3,3,1124
140,3,3,1125
141,3,3,1126
142,3,3,1127
143,3,3,1130
144,3,3,1139
145,3,3,1140
146,3,3,1141
147,3,3,1142
148,3,3,1143
149,3,3,1144
150,3,3,1146
151,3,3,1148
152,3,3,1149
153,3,3,1150
154,3,3,1151
155,3,3,1152
156,3,3,1154
157,3,3,1156
158,3,3,1157
159,3,3,1158
160,3,3,1159
161,3,3,1160
162,3,3,1162
163,3,3,1163
164,3,3,1165
165,3,3,1166
166,3,3,1170
167,3,3,1177
168,3,3,1182
169,3,3,1183
170,3,3,1184
171,3,3,1188
172,3,3,1192
173,3,3,1193
174,3,3,1194
175,3,3,1195
176,3,3,1204
177,3,3,1210
178,3,3,1211
179,3,3,1216
180,3,3,1219
181,3,3,1220
182,3,3,1221
183,3,3,1222
184,3,3,1224
185,3,3,1225
186,3,3,1226
187,3,3,1227
188,3,3,1238
189,3,3,1239
190,3,3,1240
191,3,3,1243
192,3,3,1245
193,3,3,1249
194,3,3,1250
195,3,3,1251
196,3,3,1252
197,3,3,1253
198,3,3,1254
199,3,3,1255
200,3,3,1256
201,3,3,1258
202,3,3,1260
203,3,3,1261
204,3,3,1262
205,3,3,1263
206,3,3,1264
207,3,3,1275
208,3,3,1277
209,3,3,1278
210,3,3,1279
211,3,3,1281
212,3,3,1282
213,3,3,1284
214,3,3,1285
215,3,3,1286
216,3,3,1289
217,3,3,1290
218,3,3,1292
219,3,3,1298
220,3,3,1300
221,3,3,1302
222,3,3,1303
223,3,3,1307
224,4,4,1403
225,4,4,1405
226,4,4,1406
227,4,4,1407
228,4,4,1408
229,4,4,1409
230,4,4,1410
231,4,4,1411
232,4,4,1430
233,4,4,1433
234,4,4,1439
235,4,4,1440
236,4,4,1467
237,4,4,1479
238,4,4,1481
239,4,4,1485
240,4,4,1488
241,4,4,1492
242,4,4,1494
243,4,4,1495
244,5,5,1499
245,5,5,1500
246,5,5,1501
247,5,5,1503
248,5,5,1504
249,5,5,1506
250,5,5,1509
251,5,5,1510
252,5,5,1512
253,5,5,1518
254,5,5,1521
255,5,5,1524
256,5,5,1525
257,5,5,1527
258,5,5,1529
259,5,5,1532
260,5,5,1533
261,5,5,1534
262,5,5,1535
263,5,5,1538
264,5,5,1539
265,5,5,1540
266,5,5,1542
267,5,5,1543
268,5,5,1544
269,5,5,1548
270,5,5,1549
271,5,5,1550
272,5,5,1551
273,5,5,1554
274,5,5,1556
275,5,5,1558
276,5,5,1559
277,5,5,1562
278,5,5,1563
279,5,5,1564
280,5,5,1570
281,5,5,1573
282,5,5,1574
283,5,5,1576
284,5,5,1579
285,5,5,1580
286,5,5,1582
287,5,5,1583
288,5,5,1584
289,5,5,1587
290,5,5,1588
291,5,5,1590
292,5,5,1591
293,5,5,1593
294,5,5,1596
295,5,5,1599
296,5,5,1602
297,5,5,1603
298,5,5,1607
299,5,5,1608
300,5,5,1612
301,5,5,1614
302,5,5,1615
303,5,5,1616
304,5,5,1617
305,5,5,1618
306,5,5,1620
307,5,5,1621
308,5,5,1622
309,5,5,1623
310,5,5,1625
