geneset,lib,geneset2
1, ' Ovary ' ,1,7
2, ' Tonsil ' ,1,9
3, ' Tongue ' ,1,19
4, ' Fetallung ' ,1,27
5, ' TemporalLobe ' ,1,34
6, ' Leukemia_chronicMyelogenousK-562 ' ,1,61
7, ' Trachea ' ,1,69
8, ' Pons ' ,1,70
9, ' Skin ' ,1,78
10, ' Kidney ' ,1,83
11, ' amygdala ' ,2,141
12, ' skeletal_muscle ' ,2,145
13, ' heart ' ,2,149
14, ' A4 ' ,3,181
15, ' AOB_ ' ,3,182
16, ' AOB_ ' ,3,183
17, ' AOB_ ' ,3,184
18, ' AOB_ ' ,3,185
19, ' AOB_ ' ,3,186
20, ' Abducens ' ,3,187
21, ' Accessory ' ,3,188
22, ' Accessory ' ,3,190
23, ' Accessory ' ,3,191
24, ' Accessory ' ,3,192
25, ' Agranular ' ,3,193
26, ' Agranular ' ,3,194
27, ' Agranular ' ,3,195
28, ' Agranular ' ,3,196
29, ' Agranular ' ,3,197
30, ' Agranular ' ,3,198
31, ' Agranular ' ,3,199
32, ' Agranular ' ,3,200
33, ' Agranular ' ,3,201
34, ' Agranular ' ,3,202
35, ' Agranular ' ,3,203
36, ' Agranular ' ,3,204
37, ' Agranular ' ,3,205
38, ' Ammon's ' ,3,206
39, ' Ansiform ' ,3,207
40, ' Anterior ' ,3,208
41, ' Anterior ' ,3,209
42, ' Anterior ' ,3,210
43, ' Anterior ' ,3,211
44, ' Anterior ' ,3,212
45, ' Anterior ' ,3,213
46, ' Anterior ' ,3,214
47, ' Anterior ' ,3,215
48, ' Anterior ' ,3,216
49, ' Anterior ' ,3,217
50, ' Anterior ' ,3,218
51, ' Anterior ' ,3,219
52, ' Anterior ' ,3,220
53, ' Anterior ' ,3,221
54, ' Anterior ' ,3,222
55, ' Anterior ' ,3,223
56, ' Anterior ' ,3,224
57, ' Anterior ' ,3,225
58, ' Anterior ' ,3,226
59, ' Anterior ' ,3,227
60, ' Anterior ' ,3,228
61, ' Anterior ' ,3,229
62, ' Anterior ' ,3,230
63, ' Anterior ' ,3,231
64, ' Anterior ' ,3,232
65, ' Anterior ' ,3,233
66, ' Anterior ' ,3,234
67, ' Anterodorsal ' ,3,236
68, ' Anterodorsal ' ,3,237
69, ' Anterolateral ' ,3,238
70, ' Anterolateral ' ,3,239
71, ' Anterolateral ' ,3,240
72, ' Anterolateral ' ,3,241
73, ' Anterolateral ' ,3,242
74, ' Anteromedial ' ,3,243
75, ' Anteromedial ' ,3,244
76, ' Anteromedial ' ,3,245
77, ' Anteromedial ' ,3,246
78, ' Anteromedial ' ,3,247
79, ' Anteromedial ' ,3,248
80, ' Anteromedial ' ,3,249
81, ' Anteromedial ' ,3,250
82, ' Anteromedial ' ,3,251
83, ' Anteromedial ' ,3,252
84, ' Anteroventral ' ,3,253
85, ' Anteroventral ' ,3,254
86, ' Anteroventral ' ,3,255
87, ' Arcuate ' ,3,256
88, ' Auditory ' ,3,257
89, ' Barrington's ' ,3,258
90, ' Basic ' ,3,259
91, ' Basolateral ' ,3,260
92, ' Basolateral ' ,3,261
93, ' Basolateral ' ,3,262
94, ' Basolateral ' ,3,263
95, ' Basomedial ' ,3,264
96, ' Basomedial ' ,3,265
97, ' Basomedial ' ,3,266
98, ' Bed ' ,3,267
99, ' Bed ' ,3,268
100, ' Bed ' ,3,269
101, ' Bed ' ,3,270
102, ' Bed ' ,3,271
103, ' Bed ' ,3,272
104, ' Bed ' ,3,273
105, ' Bed ' ,3,274
106, ' Bed ' ,3,275
107, ' Bed ' ,3,276
108, ' Bed ' ,3,277
109, ' Bed ' ,3,278
110, ' Bed ' ,3,279
111, ' Bed ' ,3,280
112, ' Bed ' ,3,281
113, ' Bed ' ,3,282
114, ' Bed ' ,3,283
115, ' Brain ' ,3,285
116, ' Caudoputamen ' ,3,286
117, ' Central ' ,3,287
118, ' Central ' ,3,290
119, ' Central ' ,3,291
120, ' Central ' ,3,292
121, ' Central ' ,3,293
122, ' Central ' ,3,294
123, ' Cerebellar ' ,3,295
124, ' Cerebellar ' ,3,296
125, ' Cerebellum ' ,3,297
126, ' Cerebral ' ,3,298
127, ' Cerebral ' ,3,299
128, ' Cerebrum ' ,3,300
129, ' CoPV ' ,3,302
130, ' Cochlear ' ,3,303
131, ' Cochlear ' ,3,304
132, ' Copula ' ,3,305
133, ' Copula ' ,3,306
134, ' Copula ' ,3,307
135, ' Cortical ' ,3,308
136, ' Cortical ' ,3,309
137, ' Cortical ' ,3,310
138, ' Cortical ' ,3,311
139, ' Cortical ' ,3,312
140, ' Cortical ' ,3,313
141, ' Cortical ' ,3,314
142, ' Cortical ' ,3,315
143, ' Cortical ' ,3,316
144, ' Cortical ' ,3,317
145, ' Cortical ' ,3,318
146, ' Cortical ' ,3,319
147, ' Cortical ' ,3,320
148, ' Cortical ' ,3,321
149, ' Cortical ' ,3,322
150, ' Crus ' ,3,323
151, ' Crus ' ,3,324
152, ' Crus ' ,3,325
153, ' Crus ' ,3,326
154, ' Crus ' ,3,327
155, ' Crus ' ,3,328
156, ' Culmen ' ,3,329
157, ' Cuneate ' ,3,330
158, ' Declive ' ,3,332
159, ' Declive ' ,3,333
160, ' Declive ' ,3,334
161, ' Dentate ' ,3,335
162, ' Dentate ' ,3,336
163, ' Dentate ' ,3,337
164, ' Dentate ' ,3,338
165, ' Dentate ' ,3,339
166, ' Diagonal ' ,3,340
167, ' Dopaminergic ' ,3,341
168, ' Dorsal ' ,3,342
169, ' Dorsal ' ,3,343
170, ' Dorsal ' ,3,344
171, ' Dorsal ' ,3,345
172, ' Dorsal ' ,3,346
173, ' Dorsal ' ,3,347
174, ' Dorsal ' ,3,348
175, ' Dorsal ' ,3,349
176, ' Dorsal ' ,3,350
177, ' Dorsal ' ,3,351
178, ' Dorsal ' ,3,352
179, ' Dorsomedial ' ,3,354
180, ' Dorsomedial ' ,3,355
181, ' Dorsomedial ' ,3,356
182, ' Dorsomedial ' ,3,357
183, ' Ectorhinal ' ,3,358
184, ' Ectorhinal ' ,3,359
185, ' Ectorhinal ' ,3,360
186, ' Endopiriform ' ,3,361
187, ' Endopiriform ' ,3,362
188, ' Endopiriform ' ,3,363
189, ' Entorhinal ' ,3,364
190, ' Entorhinal ' ,3,365
191, ' Entorhinal ' ,3,366
192, ' Entorhinal ' ,3,367
193, ' Entorhinal ' ,3,368
194, ' Entorhinal ' ,3,369
195, ' Entorhinal ' ,3,370
196, ' Entorhinal ' ,3,371
197, ' Entorhinal ' ,3,372
198, ' Entorhinal ' ,3,373
199, ' Entorhinal ' ,3,374
200, ' Entorhinal ' ,3,375
201, ' Entorhinal ' ,3,376
202, ' Entorhinal ' ,3,377
203, ' Entorhinal ' ,3,378
204, ' Entorhinal ' ,3,379
205, ' Entorhinal ' ,3,380
206, ' Entorhinal ' ,3,381
207, ' Entorhinal ' ,3,382
208, ' Epithalamus ' ,3,383
209, ' External ' ,3,384
210, ' Facial ' ,3,385
211, ' Fastigial ' ,3,387
212, ' Field ' ,3,388
213, ' Field ' ,3,389
214, ' Field ' ,3,391
215, ' Field ' ,3,392
216, ' Field ' ,3,393
217, ' Field ' ,3,395
218, ' Field ' ,3,398
219, ' Field ' ,3,400
220, ' Field ' ,3,401
221, ' Field ' ,3,403
222, ' Field ' ,3,404
223, ' Field ' ,3,405
224, ' Field ' ,3,406
225, ' Fields ' ,3,407
226, ' Flocculus ' ,3,408
227, ' Flocculus_ ' ,3,409
228, ' Flocculus_ ' ,3,410
229, ' Folium-tuber ' ,3,411
230, ' Folium-tuber ' ,3,412
231, ' Folium-tuber ' ,3,413
232, ' Frontal ' ,3,414
233, ' Frontal ' ,3,415
234, ' Frontal ' ,3,416
235, ' Fundus ' ,3,417
236, ' Geniculate ' ,3,418
237, ' Geniculate ' ,3,419
238, ' Gigantocellular ' ,3,420
239, ' Globus ' ,3,421
240, ' Globus ' ,3,422
241, ' Gracile ' ,3,423
242, ' Granular ' ,3,424
243, ' Gustatory ' ,3,425
244, ' Gustatory ' ,3,426
245, ' Gustatory ' ,3,427
246, ' Gustatory ' ,3,428
247, ' Gustatory ' ,3,429
248, ' Gustatory ' ,3,430
249, ' Gustatory ' ,3,431
250, ' Hemispheric ' ,3,432
251, ' Hippocampal ' ,3,434
252, ' Hippocampal ' ,3,435
253, ' Hypoglossal ' ,3,436
254, ' Hypothalamic ' ,3,437
255, ' Hypothalamic ' ,3,438
256, ' Hypothalamus ' ,3,439
257, ' Inferior ' ,3,441
258, ' Inferior ' ,3,442
259, ' Inferior ' ,3,443
260, ' Inferior ' ,3,444
261, ' Inferior ' ,3,445
262, ' Inferior ' ,3,446
263, ' Infralimbic ' ,3,447
264, ' Infralimbic ' ,3,448
265, ' Infralimbic ' ,3,449
266, ' Infralimbic ' ,3,450
267, ' Infralimbic ' ,3,451
268, ' Infralimbic ' ,3,452
269, ' Infralimbic ' ,3,453
270, ' Interanterodorsal ' ,3,454
271, ' Interanteromedial ' ,3,455
272, ' Interbrain ' ,3,456
273, ' Intercalated ' ,3,457
274, ' Intergeniculate ' ,3,458
275, ' Intermediate ' ,3,459
276, ' Intermediodorsal ' ,3,460
277, ' Interpeduncular ' ,3,461
278, ' Interposed ' ,3,462
279, ' Interstitial ' ,3,463
280, ' Intralaminar ' ,3,464
281, ' Islands ' ,3,465
282, ' Isocortex ' ,3,466
283, ' JcP ' ,3,467
284, ' JcPL ' ,3,468
285, ' JcPV ' ,3,469
286, ' Koelliker-Fuse ' ,3,470
287, ' Koelliker-Fuse ' ,3,471
288, ' Lateral ' ,3,472
289, ' Lateral ' ,3,473
290, ' Lateral ' ,3,474
291, ' Lateral ' ,3,475
292, ' Lateral ' ,3,476
293, ' Lateral ' ,3,478
294, ' Lateral ' ,3,479
295, ' Lateral ' ,3,480
296, ' Lateral ' ,3,481
297, ' Lateral ' ,3,482
298, ' Lateral ' ,3,483
299, ' Lateral ' ,3,484
300, ' Lateral ' ,3,485
301, ' Lateral ' ,3,486
302, ' Lateral ' ,3,487
303, ' Lateral ' ,3,488
304, ' Lateral ' ,3,489
305, ' Lateral ' ,3,490
306, ' Lateral ' ,3,491
307, ' Lateral ' ,3,492
308, ' Linear ' ,3,494
309, ' Lingula ' ,3,495
310, ' Lingula ' ,3,496
311, ' Lingula ' ,3,497
312, ' Lobule ' ,3,498
313, ' Lobule ' ,3,499
314, ' Lobule ' ,3,500
315, ' Lobule ' ,3,501
316, ' Lobule ' ,3,502
317, ' Lobule ' ,3,503
318, ' Lobules ' ,3,504
319, ' Lobules ' ,3,505
320, ' Lobules ' ,3,506
321, ' Locus ' ,3,507
322, ' Magnocellular ' ,3,508
323, ' Magnocellular ' ,3,509
324, ' Main ' ,3,510
325, ' Main ' ,3,511
326, ' Main ' ,3,512
327, ' Main ' ,3,513
328, ' Main ' ,3,514
329, ' Main ' ,3,515
330, ' Major ' ,3,516
331, ' Mammillary ' ,3,517
332, ' Medial ' ,3,518
333, ' Medial ' ,3,519
334, ' Medial ' ,3,520
335, ' Medial ' ,3,521
336, ' Medial ' ,3,522
337, ' Medial ' ,3,523
338, ' Medial ' ,3,524
339, ' Medial ' ,3,525
340, ' Medial ' ,3,526
341, ' Medial ' ,3,527
342, ' Medial ' ,3,528
343, ' Medial ' ,3,529
344, ' Medial ' ,3,530
345, ' Medial ' ,3,531
346, ' Medial ' ,3,533
347, ' Medial ' ,3,535
348, ' Medial ' ,3,536
349, ' Medial ' ,3,537
350, ' Medial ' ,3,538
351, ' Medial ' ,3,539
352, ' Medial ' ,3,540
353, ' Median ' ,3,541
354, ' Mediodorsal ' ,3,542
355, ' Mediodorsal ' ,3,543
356, ' Mediodorsal ' ,3,544
357, ' Mediodorsal ' ,3,545
358, ' Medulla ' ,3,546
359, ' Medulla_ ' ,3,547
360, ' Medulla_ ' ,3,548
361, ' Medullary ' ,3,549
362, ' Medullary ' ,3,550
363, ' Medullary ' ,3,551
364, ' Midbrain ' ,3,553
365, ' Midbrain ' ,3,554
366, ' Midbrain ' ,3,555
367, ' Midbrain ' ,3,556
368, ' Midbrain_ ' ,3,557
369, ' Midbrain_ ' ,3,558
370, ' Midbrain_ ' ,3,559
371, ' Midline ' ,3,560
372, ' Motor ' ,3,561
373, ' Mus ' ,3,562
374, ' Nodulus ' ,3,563
375, ' Nodulus ' ,3,564
376, ' Nodulus ' ,3,565
377, ' Nucleus ' ,3,566
378, ' Nucleus ' ,3,567
379, ' Nucleus ' ,3,568
380, ' Nucleus ' ,3,569
381, ' Nucleus ' ,3,571
382, ' Nucleus ' ,3,572
383, ' Nucleus ' ,3,573
384, ' Nucleus ' ,3,574
385, ' Nucleus ' ,3,575
386, ' Nucleus ' ,3,576
387, ' Nucleus ' ,3,577
388, ' Nucleus ' ,3,578
