geneset,lib,geneset2
1, ' 16152586-Table1 ' ,1,2
2, ' 18302714-Figure1b ' ,1,6
3, ' 18400362-Figure2a ' ,1,13
4, ' 11884566-Table1 ' ,1,15
5, ' 12714683-Table6 ' ,1,25
6, ' 15084249-Table2 ' ,1,26
7, ' 15467184-Table2b ' ,1,29
8, ' 12714683-Table7 ' ,1,31
9, ' 11884566-Table3 ' ,1,34
10, ' 11884566-Table2 ' ,1,35
11, ' 20188076-Table1 ' ,1,43
12, ' 18992152-Table2 ' ,1,49
13, ' 17885619-Table5a ' ,1,53
14, ' 17885619-Table5b ' ,1,54
15, ' 17115125-SuppTable3 ' ,1,61
16, ' 16166251-table1 ' ,1,67
17, ' 17115125-SuppTable5 ' ,1,71
18, ' 11920564-Table3 ' ,1,74
19, ' 11920564-Table2 ' ,1,76
20, ' 18378853-Table3b ' ,1,81
21, ' 20332630-Table5 ' ,1,86
22, ' 17935676-Table4 ' ,1,88
23, ' 11757704-Table1b ' ,1,91
24, ' 19930681-Table2-1 ' ,1,93
25, ' 19930681-Table2-3 ' ,1,95
26, ' 19930681-Table2-4 ' ,1,97
27, ' 16760442-SuppTable5-2 ' ,1,98
28, ' 17885619-Table3b ' ,1,100
29, ' 16969345-Table2Malignant ' ,1,105
30, ' 19302234-Table2 ' ,1,109
31, ' 17885619-Table4b ' ,1,112
32, ' 19924232-TableS2 ' ,1,119
33, ' 19924232-TableS3 ' ,1,120
34, ' 19924232-TableS1 ' ,1,122
35, ' 18086899-Table4 ' ,1,124
36, ' 11406539-table4 ' ,1,128
37, ' 11282888-Table2 ' ,1,137
38, ' 18698033-tableS1-VEGF ' ,1,142
39, ' 12086872-Table11c ' ,1,148
40, ' 20363096-Table3 ' ,1,151
41, ' 15467184-Table1b ' ,1,160
42, ' 18668517-table2 ' ,1,170
43, ' 20564080-Table4 ' ,1,172
44, ' 15613424-Table3 ' ,1,177
45, ' 16762588-Table2 ' ,1,179
46, ' 15387888-Table1b ' ,1,187
47, ' 15387888-Table1c ' ,1,188
48, ' 15387888-Table1a ' ,1,189
49, ' 20485376-TableS4 ' ,1,190
50, ' 20485376-TableS3 ' ,1,192
51, ' 18362358-Table3 ' ,1,198
52, ' 19489030-SuppTable3 ' ,1,201
53, ' 19489030-SuppTable5 ' ,1,203
54, ' 16501597-Table2 ' ,1,204
55, ' 12213285-table2 ' ,1,208
56, ' 15931389-table3 ' ,1,210
57, ' 18317805-Table1 ' ,1,215
58, ' 12508342-Table1A ' ,1,216
59, ' 17982488-Table1 ' ,1,217
60, ' 12508342-Table1B ' ,1,218
61, ' 20179162-Table3c ' ,1,220
62, ' 20179162-Table3b ' ,1,221
63, ' 16597596-TableS1-4 ' ,1,223
64, ' 16597596-TableS1-6 ' ,1,230
65, ' 12115487-table2 ' ,1,236
66, ' 17804718-HumanGeneList ' ,1,238
67, ' 20179162-Table2b ' ,1,240
68, ' 20179162-Table2a ' ,1,242
69, ' 20179162-Table2c ' ,1,244
70, ' 12588891-Figure3 ' ,1,245
71, ' 18959789-Table4 ' ,1,252
72, ' 18959789-Table3 ' ,1,253
73, ' 18959789-Table6 ' ,1,254
74, ' 15756011-Table3Down ' ,1,255
75, ' 18959789-Table5 ' ,1,257
76, ' 18959789-Table8 ' ,1,259
77, ' 18959789-Table7 ' ,1,260
78, ' 11298116-Table1 ' ,1,261
79, ' 15705876-TableS2 ' ,1,269
80, ' 15705876-TableS1 ' ,1,270
81, ' 16353136-Table4 ' ,1,275
82, ' 16353136-Table2 ' ,1,276
83, ' 15064725-table2 ' ,1,285
84, ' 15064725-table3 ' ,1,286
85, ' 18606719-Table1 ' ,1,288
86, ' 17899371-25GeneList ' ,1,290
87, ' 16421595-Table3 ' ,1,292
88, ' 16289389-Table2b ' ,1,293
89, ' 16289389-Table2a ' ,1,294
90, ' 17640171-Table3 ' ,1,296
91, ' 19895793-Table2 ' ,1,299
92, ' 14755241-Table3b ' ,1,307
93, ' 14755241-Table3a ' ,1,308
94, ' 17202451-Table1 ' ,1,311
95, ' 20448109-Table1a ' ,1,312
96, ' 20448109-Table1b ' ,1,313
97, ' 19861896-Table3 ' ,1,316
98, ' 15077194-table1 ' ,1,317
99, ' 12086872-Table12e ' ,1,339
100, ' 19118092-TableS1 ' ,1,340
101, ' 19118092-TableS2 ' ,1,342
102, ' 19118092-TableS3 ' ,1,344
103, ' 15992799-table2 ' ,1,349
104, ' 20023704-Figure1a ' ,1,351
105, ' 19723662-SupplTable2 ' ,1,362
106, ' 17023159-Table3 ' ,1,365
107, ' 15342952-Table5 ' ,1,366
108, ' 19695104-AF1-1 ' ,1,371
109, ' 20035825-Table2 ' ,1,373
110, ' 19695104-AF1-2 ' ,1,374
111, ' 15149732-table2 ' ,1,375
112, ' 20035825-Table1 ' ,1,376
113, ' 15149732-table3 ' ,1,377
114, ' 15149732-table4 ' ,1,378
115, ' 18930562-table2 ' ,1,380
116, ' 16391795-Table4 ' ,1,387
117, ' 16948840-Table2 ' ,1,388
118, ' 16948840-Table1 ' ,1,389
119, ' 16597596-TableS6-2 ' ,1,402
120, ' 19356222-Table3 ' ,1,409
121, ' 19356222-Table5 ' ,1,414
122, ' 20158880-ST-c ' ,1,417
123, ' 20158880-ST-d ' ,1,418
124, ' 19520915-Table1 ' ,1,424
125, ' 11165872-Table2 ' ,1,425
126, ' 11973655-Table3 ' ,1,430
127, ' 11973655-Table4 ' ,1,431
128, ' 11973655-Table5 ' ,1,432
129, ' 19797726-SuppTable5 ' ,1,436
130, ' 16014971-Table1 ' ,1,439
131, ' 20117289-Table2a ' ,1,442
132, ' 20117289-Table2b ' ,1,444
133, ' 12874079-Table3b ' ,1,449
134, ' 14996724-Table1Down ' ,1,455
135, ' 12874079-Table3d ' ,1,457
136, ' 17224074-Table1 ' ,1,470
137, ' 18410693-TableS7 ' ,1,471
138, ' 20231685-TableA2 ' ,1,478
139, ' 15640797-Table1 ' ,1,479
140, ' 20179162-Table1 ' ,1,483
141, ' 15843827-TableS10 ' ,1,485
142, ' 20521089-SuppTable1b ' ,1,491
143, ' 15588851-Table3 ' ,1,493
144, ' 15588851-Table2 ' ,1,496
145, ' 20508912-TABLEa-1 ' ,1,502
146, ' 20508912-TABLEa-2 ' ,1,507
147, ' 16410819-Table4 ' ,1,512
148, ' 16410819-Table5 ' ,1,517
149, ' 16410819-Table1 ' ,1,518
150, ' 16520944-Table1 ' ,1,555
151, ' 15668952-Table2 ' ,1,561
152, ' 18381434-SuppFigure2a ' ,1,563
153, ' 17690704-SuppTable1 ' ,1,565
154, ' 18668134-SuppTable8 ' ,1,566
155, ' 19695104-AF1-4 ' ,1,569
156, ' 19695104-AF1-3 ' ,1,571
157, ' 12037678-Table3 ' ,1,577
158, ' 15280659-Table1 ' ,1,581
159, ' 19880498-TableS5 ' ,1,596
160, ' 15171711-Table4 ' ,1,599
161, ' 17989719-SuppTableS3 ' ,1,601
162, ' 11606393-Table1 ' ,1,605
163, ' 15517866-Table5 ' ,1,606
164, ' 19088021-Table4 ' ,1,610
165, ' 19199503-Table1 ' ,1,612
166, ' 15195138-Table1 ' ,1,613
167, ' 20459861-TableS3c ' ,1,615
168, ' 20459861-TableS3b ' ,1,617
169, ' 15867264-Table2 ' ,1,619
170, ' 15355895-Table1 ' ,1,620
171, ' 20459861-TableS3a ' ,1,621
172, ' 20068076-SuppTable11a ' ,1,623
173, ' 20138012-Table1 ' ,1,625
174, ' 17664038-Table1 ' ,1,629
175, ' 20068076-SuppTable11b ' ,1,630
176, ' 11920564-Table5b ' ,1,632
177, ' 12969976-Table2 ' ,1,634
178, ' 14728809-Table3b ' ,1,639
179, ' 19112599-Table2b ' ,1,642
180, ' 17470200-Table3 ' ,1,645
181, ' 16643337-Table1 ' ,1,646
182, ' 17470200-Table2 ' ,1,647
183, ' 17881637-Table3 ' ,1,648
184, ' 16465392-Table1 ' ,1,649
185, ' 17470200-Table1 ' ,1,650
186, ' 12067990-Table3 ' ,1,652
187, ' 17470200-Table4 ' ,1,654
188, ' 15870177-FigureS4 ' ,1,656
189, ' 15870177-FigureS3 ' ,1,658
190, ' 16575401-Table3 ' ,1,662
191, ' 19129520-TableS26 ' ,1,670
192, ' 19266279-TableA ' ,1,672
193, ' 20460173-ImmPortTNFFamilyMemberReceptors ' ,1,673
194, ' 19266279-Table2 ' ,1,681
195, ' 19266279-Table1 ' ,1,682
196, ' 15355895-Table2c ' ,1,685
197, ' 19026495-table1 ' ,1,695
198, ' 15674362-SuppTable3 ' ,1,699
199, ' 20406893-Table1a ' ,1,700
200, ' 20406893-Table1b ' ,1,701
201, ' 12456497-Table3 ' ,1,702
202, ' 20460173-ImmPortTGF-betaFamilyMemberReceptors ' ,1,704
203, ' 11694447-Table1 ' ,1,707
204, ' 18321301-Table2c ' ,1,709
205, ' 18321301-Table2a ' ,1,710
206, ' 18321301-Table2d ' ,1,711
207, ' 12900505-Figure3 ' ,1,714
208, ' 20338664-Table2 ' ,1,719
209, ' 16203795-Table1 ' ,1,723
210, ' 16203795-Table2 ' ,1,724
211, ' 20338664-Table3 ' ,1,725
212, ' 15305381-TableI ' ,1,726
213, ' 15574765-Table2 ' ,1,727
214, ' 16495925-Table2 ' ,1,744
215, ' 15459216-TableA2e ' ,1,746
216, ' 19832977-TableS1 ' ,1,750
217, ' 15501955-Table1 ' ,1,763
218, ' 12632483-Table1 ' ,1,771
219, ' 19225562-Table3a ' ,1,772
220, ' 19261849-TableS5 ' ,1,778
221, ' 18593982-UpregulatedGeneList ' ,1,780
222, ' 12606954-table1a ' ,1,791
223, ' 15167912-Table2 ' ,1,792
224, ' 12606954-table1b ' ,1,793
225, ' 20028859-Table2 ' ,1,795
226, ' 18668134-SuppTable6 ' ,1,797
227, ' 16007187-GeneList ' ,1,798
228, ' 18668134-SuppTable7 ' ,1,801
229, ' 11965536-Table2 ' ,1,804
230, ' 12606954-table1c ' ,1,806
231, ' 17982488-TableS2b ' ,1,808
232, ' 15721472-ER-negative-16genes ' ,1,810
233, ' 16701898-Table2 ' ,1,812
234, ' 19672972-Table1 ' ,1,813
235, ' 12900513-Table4 ' ,1,816
236, ' 18398820-table5 ' ,1,822
237, ' 16737686-Table2 ' ,1,827
238, ' 16291580-Table2b ' ,1,840
239, ' 16291580-Table2a ' ,1,842
240, ' 19249242-Table2 ' ,1,846
241, ' 16501597-Table1a ' ,1,849
242, ' 17043639-Table5 ' ,1,850
243, ' 19112514-tableS1 ' ,1,851
244, ' 11678601-Table4 ' ,1,857
245, ' 11678601-Table2 ' ,1,860
246, ' 11678601-Table1 ' ,1,862
247, ' 11678601-Table6 ' ,1,863
248, ' 18347175-TableS4.2 ' ,1,879
249, ' 18278552-Genes ' ,1,887
250, ' 19699293-TableS8 ' ,1,888
251, ' 19373655-Table3 ' ,1,889
252, ' 20124476-SuppTable3 ' ,1,895
253, ' 19118092-Table2 ' ,1,903
254, ' 19118092-Table3 ' ,1,904
255, ' 15637295-Table4 ' ,1,907
256, ' 19597962-Table3 ' ,1,909
257, ' 11432721-Table3 ' ,1,915
258, ' 18812439-Table1 ' ,1,917
259, ' 18812439-Table2 ' ,1,918
260, ' 16195754-table1 ' ,1,919
261, ' 16081686-SuppTable3 ' ,1,923
262, ' 17273163-Supp1b ' ,1,929
263, ' 15790403-Table1 ' ,1,932
264, ' 19643001-Table2 ' ,1,934
265, ' 16919171-Table3 ' ,1,937
266, ' 12438227-Table1 ' ,1,938
267, ' 16752223-Table2 ' ,1,941
268, ' 16752223-Table4 ' ,1,942
269, ' 14556934-Table1 ' ,1,944
270, ' 20421987-TableS6 ' ,1,952
271, ' 20421987-TableS3 ' ,1,955
272, ' 18722011-SuppTable2f ' ,1,965
273, ' 18722011-SuppTable2m ' ,1,978
274, ' 15284443-Table5 ' ,1,980
275, ' 15284443-Table6 ' ,1,984
276, ' 12173053-table1 ' ,1,985
277, ' 18722011-SuppTable2a ' ,1,987
278, ' 15170602-Table3 ' ,1,1007
279, ' 14990357-Table2 ' ,1,1011
280, ' 19395651-TableS2a ' ,1,1013
281, ' 15500010-table3 ' ,1,1019
282, ' 12717400-Table2 ' ,1,1021
283, ' 12717400-Table1 ' ,1,1022
284, ' 15679045-Table1 ' ,1,1024
285, ' 11237719-Table1b ' ,1,1030
286, ' 11237719-Table1a ' ,1,1031
287, ' 11973655-Table2a ' ,1,1034
288, ' 11973655-Table2b ' ,1,1035
289, ' 12115547-Table1 ' ,1,1039
290, ' 16467079-Table2a ' ,1,1041
291, ' 20460173-ImmPortTGF-betaFamilyMembers ' ,1,1042
292, ' 15756011-Table3Up ' ,1,1043
293, ' 19171880-TableS2 ' ,1,1046
294, ' 19171880-TableS3 ' ,1,1047
295, ' 16467079-Table3b ' ,1,1052
296, ' 18464117-Table3 ' ,1,1056
297, ' 16934749-Table3 ' ,1,1057
298, ' 17963910-Table2 ' ,1,1073
299, ' 11895757-Table3 ' ,1,1079
300, ' 17150101-TableS1f ' ,1,1087
301, ' 14871800-SuppTable2 ' ,1,1089
302, ' 17150101-TableS1a ' ,1,1090
303, ' 17150101-TableS1b ' ,1,1091
304, ' 19224407-Table3 ' ,1,1095
305, ' 19224407-Table4 ' ,1,1098
306, ' 15381369-Table3 ' ,1,1111
307, ' 17635002-SuppTable2 ' ,1,1113
308, ' 19455257-TableS10 ' ,1,1117
309, ' 18338247-SuppTable3B ' ,1,1118
310, ' 18338247-SuppTable3A ' ,1,1119
311, ' 18987656-Figure2 ' ,1,1125
312, ' 18987656-Figure1 ' ,1,1126
313, ' 16536878-SuppTable4 ' ,1,1130
314, ' 19737411-Table1 ' ,1,1131
315, ' 16380157-Table2b ' ,1,1132
316, ' 20303590-Table1 ' ,1,1135
317, ' 16188652-table1b ' ,1,1138
318, ' 19181379-Table2 ' ,1,1142
319, ' 19181379-Table1 ' ,1,1144
320, ' 12429807-Table3 ' ,1,1145
321, ' 19549311-SuppTable5 ' ,1,1148
322, ' 12890387-Table1 ' ,1,1157
323, ' 11134302-SuppTable2 ' ,1,1164
324, ' 19120899-Table2b ' ,1,1165
325, ' 12782714-TableS3b ' ,1,1168
326, ' 12782714-TableS3a ' ,1,1169
327, ' 15788660-Table2 ' ,1,1173
328, ' 12935928-Table2 ' ,1,1176
329, ' 12935928-Table3 ' ,1,1178
330, ' 14977634-Figure8b ' ,1,1184
331, ' 18403781-Table2 ' ,1,1187
332, ' 15987422-Table2 ' ,1,1202
333, ' 15501956-Table4 ' ,1,1203
334, ' 15155529-tableS2a ' ,1,1205
335, ' 15155529-tableS2b ' ,1,1206
336, ' 17012836-Table4 ' ,1,1207
337, ' 15501956-Table6 ' ,1,1208
338, ' 15994935-Table3b ' ,1,1217
339, ' 15796909-Table1 ' ,1,1220
340, ' 15917480-table4 ' ,1,1226
341, ' 20086245-Table2b ' ,1,1236
342, ' 20086245-Table2a ' ,1,1239
343, ' 15695585-Table4 ' ,1,1240
344, ' 18508997-Table2a ' ,1,1248
345, ' 18508997-Table2b ' ,1,1249
346, ' 18508997-Table4a ' ,1,1258
347, ' 18410693-TableS13 ' ,1,1268
348, ' 18565887-TableA14 ' ,1,1270
349, ' 18565887-TableA13 ' ,1,1271
350, ' 18565887-TableA10 ' ,1,1273
351, ' 18508997-Table4b ' ,1,1275
352, ' 19832978-Table2 ' ,1,1279
353, ' 11004666-Table1 ' ,1,1280
354, ' 12629520-Table2 ' ,1,1292
355, ' 15307139-Table2a ' ,1,1295
356, ' 16317158-Table2 ' ,1,1300
357, ' 16317158-Table3 ' ,1,1303
358, ' 20369051-Table1 ' ,1,1305
359, ' 12648972-Panel3 ' ,1,1306
360, ' 15307139-Table3a ' ,1,1307
361, ' 15832406-Table6 ' ,1,1311
362, ' 14676807-Table2 ' ,1,1315
363, ' 11597333-SuppTable5 ' ,1,1317
364, ' 11597333-SuppTable6 ' ,1,1319
365, ' 15896717-Table3 ' ,1,1321
366, ' 19098997-Table1 ' ,1,1327
367, ' 15896717-Table5 ' ,1,1332
368, ' 11597333-SuppTable9 ' ,1,1333
369, ' 19061838-TableS10 ' ,1,1334
370, ' 15896717-Table6 ' ,1,1335
371, ' 15896717-Table7 ' ,1,1336
372, ' 11597333-SuppTable7 ' ,1,1337
373, ' 15896717-Table8 ' ,1,1338
374, ' 11597333-SuppTable8 ' ,1,1339
375, ' 11834723-Table1b ' ,1,1342
376, ' 19658182-Table1b ' ,1,1347
377, ' 17287849-SuppTable1a ' ,1,1351
378, ' 12640676-Table5 ' ,1,1352
379, ' 19249085-Table2 ' ,1,1357
380, ' 18922970-Table1a ' ,1,1360
381, ' 18922970-Table1b ' ,1,1361
382, ' 15307139-Table5a ' ,1,1370
383, ' 15486989-table5 ' ,1,1377
384, ' 21131918-Table1 ' ,1,1380
385, ' 15352029-TableII-UpRegulated ' ,1,1381
386, ' 19818417-Table2 ' ,1,1382
387, ' 15308545-Table4 ' ,1,1385
388, ' 16287073-Table4 ' ,1,1391
389, ' 14676830-Table5 ' ,1,1394
390, ' 14676830-Table6 ' ,1,1398
391, ' 14969821-Table2 ' ,1,1402
392, ' 15899795-SuppTable3 ' ,1,1404
393, ' 16132688-Table1 ' ,1,1414
394, ' 20028859-TableS4 ' ,1,1415
395, ' 20028859-TableS3 ' ,1,1416
396, ' 20028859-TableS2 ' ,1,1417
397, ' 16529784-Table7 ' ,1,1428
398, ' 16529784-Table6 ' ,1,1431
399, ' 18698033-tableS1-CASP3 ' ,1,1432
400, ' 19881313-Table1a ' ,1,1433
401, ' 15277230-Table3 ' ,1,1439
402, ' 16584549-Table1 ' ,1,1443
403, ' 16584549-Table2 ' ,1,1444
404, ' 18441282-Table2 ' ,1,1454
405, ' 17451373-Table2 ' ,1,1459
406, ' 19061838-TableS9b ' ,1,1462
407, ' 19881313-Table1e ' ,1,1467
408, ' 15173083-Table3 ' ,1,1470
409, ' 14678979-figure3b ' ,1,1471
410, ' 14678979-figure3a ' ,1,1473
411, ' 20103675-Table1a ' ,1,1475
412, ' 19061838-TableS6b ' ,1,1476
413, ' 19061838-TableS6a ' ,1,1477
414, ' 14678979-Table2 ' ,1,1479
415, ' 20103675-Table1b ' ,1,1481
416, ' 15173083-Table2 ' ,1,1483
417, ' 19549311-SuppTable2-PAM ' ,1,1489
418, ' 17404395-TableS1b ' ,1,1490
419, ' 17284363-Table4 ' ,1,1494
420, ' 12136251-table5 ' ,1,1496
421, ' 18927307-table1 ' ,1,1499
422, ' 12136251-table3 ' ,1,1500
423, ' 19807731-Figure1 ' ,1,1501
424, ' 20145155-Table2 ' ,1,1505
425, ' 15469929-Table2 ' ,1,1511
426, ' 19061838-TableS4a ' ,1,1514
427, ' 11282888-SuppTable3 ' ,1,1515
428, ' 11282888-SuppTable4 ' ,1,1516
429, ' 14508521-Table1 ' ,1,1518
430, ' 17209051-Table3 ' ,1,1545
431, ' 17209051-Table2 ' ,1,1547
432, ' 17209051-Table1 ' ,1,1548
433, ' 14633610-Table3 ' ,1,1549
