geneset,lib,geneset2
1, ' positive ' ,1,1
2, ' type ' ,1,3
3, ' CDP-diacylglycerol ' ,1,4
4, ' amino ' ,1,8
5, ' negative ' ,1,9
6, ' positive ' ,1,11
7, ' negative ' ,1,12
8, ' regulation ' ,1,13
9, ' positive ' ,1,14
10, ' negative ' ,1,15
11, ' regulation ' ,1,17
12, ' establishment ' ,1,18
13, ' positive ' ,1,19
14, ' mammary ' ,1,22
15, ' regulation ' ,1,23
16, ' positive ' ,1,24
17, ' negative ' ,1,26
18, ' positive ' ,1,27
19, ' positive ' ,1,32
20, ' regulation ' ,1,33
21, ' negative ' ,1,34
22, ' regulation ' ,1,35
23, ' negative ' ,1,37
24, ' positive ' ,1,38
25, ' regulation ' ,1,40
26, ' positive ' ,1,42
27, ' protoporphyrinogen ' ,1,44
28, ' S-adenosylmethionine ' ,1,45
29, ' positive ' ,1,46
30, ' generation ' ,1,47
31, ' transcription-coupled ' ,1,51
32, ' social ' ,1,53
33, ' response ' ,1,55
34, ' regulation ' ,1,56
35, ' microtubule ' ,1,57
36, ' defense ' ,1,59
37, ' intestinal ' ,1,60
38, ' defense ' ,1,61
39, ' response ' ,1,63
40, ' regulation ' ,1,66
41, ' positive ' ,1,67
42, ' negative ' ,1,68
43, ' tyrosine ' ,1,69
44, ' valine ' ,1,72
45, ' T-helper ' ,1,73
46, ' amino-acid ' ,1,76
47, ' cellular ' ,1,77
48, ' exogenous ' ,1,78
49, ' central ' ,1,79
50, ' negative ' ,1,81
51, ' epithelial ' ,1,84
52, ' positive ' ,1,85
53, ' negative ' ,1,86
54, ' cell ' ,1,87
55, ' heme ' ,1,90
56, ' regulation ' ,1,91
57, ' positive ' ,1,92
58, ' regulation ' ,1,93
59, ' regulation ' ,1,94
60, ' negative ' ,1,95
61, ' activation ' ,1,96
62, ' positive ' ,1,98
63, ' thyroid ' ,1,100
64, ' polyamine ' ,1,101
65, ' embryonic ' ,1,102
66, ' cytochrome ' ,1,103
67, ' polyamine ' ,1,104
68, ' positive ' ,1,106
69, ' fucose ' ,1,108
70, ' uterus ' ,1,110
71, ' regulation ' ,1,112
72, ' tetrahydrofolate ' ,1,113
73, ' signal ' ,1,115
74, ' regulation ' ,1,116
75, ' superoxide ' ,1,119
76, ' multicellular ' ,1,120
77, ' imidazole-containing ' ,1,124
78, ' pteridine-containing ' ,1,125
79, ' pteridine-containing ' ,1,126
80, ' pigment ' ,1,127
81, ' membrane ' ,1,129
82, ' regulation ' ,1,133
83, ' atrial ' ,1,134
84, ' positive ' ,1,135
85, ' energy ' ,1,136
86, ' lung ' ,1,137
87, ' regulation ' ,1,138
88, ' oxidative ' ,1,139
89, ' grooming ' ,1,142
90, ' embryonic ' ,1,144
91, ' craniofacial ' ,1,145
92, ' embryonic ' ,1,146
93, ' L-ascorbic ' ,1,147
94, ' protein ' ,1,149
95, ' oligodendrocyte ' ,1,151
96, ' protein ' ,1,152
97, ' protein ' ,1,153
98, ' protein ' ,1,154
99, ' positive ' ,1,157
100, ' deoxyribonucleotide ' ,1,158
101, ' negative ' ,1,160
102, ' dichotomous ' ,1,161
103, ' lateral ' ,1,162
104, ' indole-containing ' ,1,164
105, ' indole-containing ' ,1,165
106, ' alpha-beta ' ,1,166
107, ' T ' ,1,167
108, ' CD4-positive_ ' ,1,168
109, ' response ' ,1,170
110, ' signal ' ,1,171
111, ' ectodermal ' ,1,172
112, ' positive ' ,1,173
113, ' positive ' ,1,174
114, ' proteoglycan ' ,1,176
115, ' reflex ' ,1,178
116, ' aminoglycan ' ,1,180
117, ' inositol ' ,1,181
118, ' ATP ' ,1,182
119, ' glycosaminoglycan ' ,1,184
120, ' positive ' ,1,185
121, ' regulation ' ,1,187
122, ' regulation ' ,1,188
123, ' mitochondrial ' ,1,189
124, ' behavioral ' ,1,190
125, ' behavioral ' ,1,191
126, ' negative ' ,1,192
127, ' positive ' ,1,193
128, ' negative ' ,1,195
129, ' positive ' ,1,198
130, ' regulation ' ,1,199
131, ' positive ' ,1,200
132, ' inner ' ,1,201
133, ' macromolecule ' ,1,203
134, ' inner ' ,1,204
135, ' relaxation ' ,1,206
136, ' regulation ' ,1,207
137, ' retinoic ' ,1,208
138, ' negative ' ,1,209
139, ' phospholipid ' ,1,210
140, ' positive ' ,1,211
141, ' regulation ' ,1,212
142, ' positive ' ,1,213
143, ' nuclear-transcribed ' ,1,214
144, ' regulation ' ,1,215
145, ' positive ' ,1,216
146, ' innervation ' ,1,217
147, ' positive ' ,1,218
148, ' negative ' ,1,219
149, ' regulation ' ,1,220
150, ' regulation ' ,1,221
151, ' L-methionine ' ,1,222
152, ' Golgi ' ,1,223
153, ' mitotic ' ,1,224
154, ' microtubule ' ,1,226
155, ' cardiac ' ,1,229
156, ' mitochondrial ' ,1,230
157, ' cardiac ' ,1,231
158, ' cardiac ' ,1,232
159, ' barbed-end ' ,1,236
160, ' metaphase ' ,1,237
161, ' DNA ' ,1,238
162, ' modulation ' ,1,241
163, ' positive ' ,1,242
164, ' positive ' ,1,243
165, ' negative ' ,1,244
166, ' nucleoside ' ,1,246
167, ' nucleoside ' ,1,247
168, ' positive ' ,1,248
169, ' nucleoside ' ,1,249
170, ' spliceosomal ' ,1,250
171, ' polarized ' ,1,252
172, ' pyrimidine-containing ' ,1,254
173, ' primary ' ,1,255
174, ' embryonic ' ,1,257
175, ' histone ' ,1,258
176, ' glycerolipid ' ,1,259
177, ' eye ' ,1,262
178, ' cellular ' ,1,264
179, ' myelin ' ,1,268
180, ' attachment ' ,1,270
181, ' positive ' ,1,273
182, ' regulation ' ,1,274
183, ' modulation ' ,1,275
